Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)berkel.?en.?rodenr(ij|y)s(?:[^a-zA-Z]|\b),Berkel en Rodenrijs,493,10139,2,10,0.2
(?:[^a-zA-Z]|\b)berkel.?enschot(?:[^a-zA-Z]|\b),Berkel-Enschot,751,11132,0,0,0.0
(?:[^a-zA-Z]|\b)berkenwoude(?:[^a-zA-Z]|\b),Berkenwoude,494,10797,0,9,0.0
(?:[^a-zA-Z]|\b)berkhout(?:[^a-zA-Z]|\b),Berkhout,374,10354,0,29,0.0
(?:[^a-zA-Z]|\b)berlicum(?:[^a-zA-Z]|\b),Berlicum,752,10362,0,5,0.0
(?:[^a-zA-Z]|\b)beso(ij|y)en(?:[^a-zA-Z]|\b),Besoijen,1020,10056,6,14,0.42857142857142855
(?:[^a-zA-Z]|\b)best(?:[^a-zA-Z]|\b),Best,753,10442,22,255,0.08627450980392157
(?:[^a-zA-Z]|\b)beugen.?en.?rijkevoort(?:[^a-zA-Z]|\b),Beugen en Rijkevoort,1021,10252,0,0,0.0
(?:[^a-zA-Z]|\b)beuningen(?:[^a-zA-Z]|\b),Beuningen,209,10417,0,1,0.0
(?:[^a-zA-Z]|\b)beusichem(?:[^a-zA-Z]|\b),Beusichem,210,11182,0,4,0.0
(?:[^a-zA-Z]|\b)beverw(ij|y)k(?:[^a-zA-Z]|\b),Beverwijk,375,10272,13,79,0.16455696202531644
(?:[^a-zA-Z]|\b)bierum(?:[^a-zA-Z]|\b),Bierum,8,11294,0,0,0.0
(?:[^a-zA-Z]|\b)biervliet(?:[^a-zA-Z]|\b),Biervliet,652,10257,1,5,0.2
(?:[^a-zA-Z]|\b)biggekerke(?:[^a-zA-Z]|\b),Biggekerke,1022,11364,1,4,0.25
(?:[^a-zA-Z]|\b)bingelrade(?:[^a-zA-Z]|\b),Bingelrade,894,10967,0,0,0.0
(?:[^a-zA-Z]|\b)bladel.?en.?netersel(?:[^a-zA-Z]|\b),Bladel en Netersel,754,11006,0,0,0.0
(?:[^a-zA-Z]|\b)blankenham(?:[^a-zA-Z]|\b),Blankenham,145,10320,4,9,0.4444444444444444
(?:[^a-zA-Z]|\b)blaricum(?:[^a-zA-Z]|\b),Blaricum,376,10493,3,6,0.5
(?:[^a-zA-Z]|\b)bleisw(ij|y)k(?:[^a-zA-Z]|\b),Bleiswijk,495,10994,3,24,0.125
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b),Bleskensgraaf en Hofwege,496,10451,0,1,0.0
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b),Bloemendaal,377,10850,2,33,0.06060606060606061
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b),Blokker,378,10804,2,10,0.2
(?:[^a-zA-Z]|\b)blokz(ij|y)l(?:[^a-zA-Z]|\b),Blokzijl,146,10689,7,38,0.18421052631578946
(?:[^a-zA-Z]|\b)bocholtz(?:[^a-zA-Z]|\b),Bocholtz,895,10986,1,10,0.1
(?:[^a-zA-Z]|\b)bodegraven(?:[^a-zA-Z]|\b),Bodegraven,497,11091,11,35,0.3142857142857143
(?:[^a-zA-Z]|\b)boekel(?:[^a-zA-Z]|\b),Boekel,755,10432,0,0,0.0
(?:[^a-zA-Z]|\b)bokhoven(?:[^a-zA-Z]|\b),Bokhoven,1023,11083,3,10,0.3
(?:[^a-zA-Z]|\b)bolsward(?:[^a-zA-Z]|\b),Bolsward,64,10865,9,60,0.15
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b),Borculo,211,11307,0,7,0.0
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b),Borger,108,10448,1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b),Borgharen,896,11334,6,8,0.75
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b),Borkel en Schaft,1026,11013,0,0,0.0
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b),Born,897,10927,0,0,0.0
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b),Borne,147,10326,4,13,0.3076923076923077
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b),Borssele,1254,10043,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b),Boschkapelle,1027,10605,1,1,1.0
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b),Boskoop,499,10419,2,24,0.08333333333333333
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b),Bovenkarspel,379,10945,0,0,0.0
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b),Boxmeer,756,11227,7,24,0.2916666666666667
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b),Boxtel,757,10083,5,34,0.14705882352941177
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b),Brakel,212,11125,3,18,0.16666666666666666
(?:[^a-zA-Z]|\b)brandw(ij|y)k(?:[^a-zA-Z]|\b),Brandwijk,500,10169,0,19,0.0
(?:[^a-zA-Z]|\b)breda(?:[^a-zA-Z]|\b),Breda,758,10154,108,467,0.23126338329764454
(?:[^a-zA-Z]|\b)breskens(?:[^a-zA-Z]|\b),Breskens,655,10233,8,44,0.18181818181818182
(?:[^a-zA-Z]|\b)breukelen.?n(ij|y)enrode(?:[^a-zA-Z]|\b),Breukelen-Nijenrode,1028,10807,2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)breukelen.?(st.?|sint).?pieters(?:[^a-zA-Z]|\b),Breukelen-Sint Pieters,1029,11149,4,20,0.2
(?:[^a-zA-Z]|\b)brielle(?:[^a-zA-Z]|\b),Brielle,501,10232,15,202,0.07425742574257425
(?:[^a-zA-Z]|\b)broek(?:[^a-zA-Z]|\b),Broek,1030,11214,21,135,0.15555555555555556
(?:[^a-zA-Z]|\b)broek.?in.?waterland(?:[^a-zA-Z]|\b),Broek in Waterland,380,10289,2,15,0.13333333333333333
(?:[^a-zA-Z]|\b)broek.?op.?langend(ij|y)k(?:[^a-zA-Z]|\b),Broek op Langedijk,1031,10955,0,2,0.0
(?:[^a-zA-Z]|\b)broekhu(ij|y|i)(s|z)en(?:[^a-zA-Z]|\b),Broekhuizen,898,10856,0,11,0.0
(?:[^a-zA-Z]|\b)broeksittard(?:[^a-zA-Z]|\b),Broeksittard,1032,10655,0,3,0.0
(?:[^a-zA-Z]|\b)brouwershaven(?:[^a-zA-Z]|\b),Brouwershaven,656,10030,12,140,0.08571428571428572
(?:[^a-zA-Z]|\b)bruinisse(?:[^a-zA-Z]|\b),Bruinisse,657,11291,7,11,0.6363636363636364
(?:[^a-zA-Z]|\b)brummen(?:[^a-zA-Z]|\b),Brummen,213,10798,3,28,0.10714285714285714
(?:[^a-zA-Z]|\b)brunssum(?:[^a-zA-Z]|\b),Brunssum,899,10533,0,0,0.0
(?:[^a-zA-Z]|\b)budel(?:[^a-zA-Z]|\b),Budel,759,10219,0,1,0.0
(?:[^a-zA-Z]|\b)buggenum(?:[^a-zA-Z]|\b),Buggenum,1033,10857,0,1,0.0
(?:[^a-zA-Z]|\b)buiksloot(?:[^a-zA-Z]|\b),Buiksloot,1034,10961,3,13,0.23076923076923078
(?:[^a-zA-Z]|\b)bunde(?:[^a-zA-Z]|\b),Bunde,900,10831,1,9,0.1111111111111111
(?:[^a-zA-Z]|\b)bunnik(?:[^a-zA-Z]|\b),Bunnik,312,10820,6,14,0.42857142857142855
(?:[^a-zA-Z]|\b)bunschoten(?:[^a-zA-Z]|\b),Bunschoten,313,11343,4,13,0.3076923076923077
(?:[^a-zA-Z]|\b)buren(?:[^a-zA-Z]|\b),Buren,214,11286,14,71,0.19718309859154928
(?:[^a-zA-Z]|\b)burgh(?:[^a-zA-Z]|\b),Burgh,1035,11000,2,10,0.2
(?:[^a-zA-Z]|\b)bussum(?:[^a-zA-Z]|\b),Bussum,381,10281,0,5,0.0
(?:[^a-zA-Z]|\b)buurmalsen(?:[^a-zA-Z]|\b),Buurmalsen,215,10460,0,2,0.0
(?:[^a-zA-Z]|\b)cadier.?en.?keer(?:[^a-zA-Z]|\b),Cadier en Keer,901,11447,0,0,0.0
(?:[^a-zA-Z]|\b)cadzand(?:[^a-zA-Z]|\b),Cadzand,658,11002,1,5,0.2
(?:[^a-zA-Z]|\b)callantsoog(?:[^a-zA-Z]|\b),Callantsoog,382,10559,0,6,0.0
(?:[^a-zA-Z]|\b)capelle.?(a.?d.?|aan.?den?).?(ij|y)ssel(?:[^a-zA-Z]|\b),Capelle,1036,11233,2,17,0.11764705882352941
(?:[^a-zA-Z]|\b)cappelle(?:[^a-zA-Z]|\b),Capelle aan den IJssel,502,11248,3,11,0.2727272727272727
(?:[^a-zA-Z]|\b)castricum(?:[^a-zA-Z]|\b),Castricum,383,11287,1,13,0.07692307692307693
(?:[^a-zA-Z]|\b)chaam(?:[^a-zA-Z]|\b),Chaam,760,11433,3,17,0.17647058823529413
(?:[^a-zA-Z]|\b)charlois(?:[^a-zA-Z]|\b),Charlois,1037,10430,3,31,0.0967741935483871
(?:[^a-zA-Z]|\b)clinge(?:[^a-zA-Z]|\b),Clinge,659,10965,1,1,1.0
(?:[^a-zA-Z]|\b)coevorden(?:[^a-zA-Z]|\b),Coevorden,109,10383,5,45,0.1111111111111111
(?:[^a-zA-Z]|\b)col(ij|y)nsplaat(?:[^a-zA-Z]|\b),Colijnsplaat,1038,10121,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)cothen(?:[^a-zA-Z]|\b),Cothen,314,11316,1,4,0.25
(?:[^a-zA-Z]|\b)cromvoirt(?:[^a-zA-Z]|\b),Cromvoirt,1039,10053,0,2,0.0
(?:[^a-zA-Z]|\b)cu(ij|y)k.?en.?(st.?|sint).?agatha(?:[^a-zA-Z]|\b),Cuijk en Sint Agatha,761,10023,0,0,0.0
(?:[^a-zA-Z]|\b)cule(n|m)b(o|u)rg|kuilenb(u|o)rg(?:[^a-zA-Z]|\b),Culemborg,216,10342,38,104,0.36538461538461536
(?:[^a-zA-Z]|\b)dalen(?:[^a-zA-Z]|\b),Dalen,110,11004,9,93,0.0967741935483871
(?:[^a-zA-Z]|\b)dalfsen(?:[^a-zA-Z]|\b),Dalfsen,148,11007,14,44,0.3181818181818182
(?:[^a-zA-Z]|\b)dantumadeel(?:[^a-zA-Z]|\b),Dantumadeel,65,10650,1,2,0.5
(?:[^a-zA-Z]|\b)de.?bilt(?:[^a-zA-Z]|\b),De Bilt,310,10168,4,28,0.14285714285714285
(?:[^a-zA-Z]|\b)de.?lier(?:[^a-zA-Z]|\b),De Lier,552,10241,4,16,0.25
(?:[^a-zA-Z]|\b)de.r(ij|y)p(?:[^a-zA-Z]|\b),De Rijp,440,11417,0,6,0.0
(?:[^a-zA-Z]|\b)de.?werke(n|n.?e?n?.? sleeuwijk)(?:[^a-zA-Z]|\b),de Werken en Sleeuwijk,1222,10116,14,90,0.15555555555555556
(?:[^a-zA-Z]|\b)de.w(ij|y)k(?:[^a-zA-Z]|\b),De Wijk,135,10753,4,43,0.09302325581395349
(?:[^a-zA-Z]|\b)deil(?:[^a-zA-Z]|\b),Deil,217,10057,1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)delf(t?)shaven(?:[^a-zA-Z]|\b),Delfshaven,1040,10908,18,101,0.1782178217821782
(?:[^a-zA-Z]|\b)delft(?:[^a-zA-Z]|\b),Delft,503,10928,100,429,0.2331002331002331
(?:[^a-zA-Z]|\b)delfz(ij|y)l(?:[^a-zA-Z]|\b),Delfzijl,10,10976,5,71,0.07042253521126761
