Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b),Borculo,211,11307,0,17,0.0
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b),Borger,108,10448,0,47,0.0
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b),Borgharen,896,11334,0,5,0.0
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b),Borkel en Schaft,1026,11013,0,0,0.0
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b),Born,897,10927,0,12,0.0
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b),Borne,147,10326,0,19,0.0
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b),Borssele,1254,10043,0,9,0.0
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b),Boschkapelle,1027,10605,0,5,0.0
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b),Boskoop,499,10419,0,10,0.0
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b),Bovenkarspel,379,10945,0,0,0.0
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b),Boxmeer,756,11227,0,101,0.0
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b),Boxtel,757,10083,0,156,0.0
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b),Brakel,212,11125,0,17,0.0
(?:[^a-zA-Z]|\b)brandw(ij|y)k(?:[^a-zA-Z]|\b),Brandwijk,500,10169,0,10,0.0
(?:[^a-zA-Z]|\b)breda(?:[^a-zA-Z]|\b),Breda,758,10154,4,413,0.009685230024213076
(?:[^a-zA-Z]|\b)breskens(?:[^a-zA-Z]|\b),Breskens,655,10233,0,7,0.0
(?:[^a-zA-Z]|\b)breukelen.?n(ij|y)enrode(?:[^a-zA-Z]|\b),Breukelen-Nijenrode,1028,10807,0,1,0.0
(?:[^a-zA-Z]|\b)breukelen.?(st.?|sint).?pieters(?:[^a-zA-Z]|\b),Breukelen-Sint Pieters,1029,11149,0,1,0.0
(?:[^a-zA-Z]|\b)brielle(?:[^a-zA-Z]|\b),Brielle,501,10232,0,133,0.0
(?:[^a-zA-Z]|\b)broek(?:[^a-zA-Z]|\b),Broek,1030,11214,0,157,0.0
(?:[^a-zA-Z]|\b)broek.?in.?waterland(?:[^a-zA-Z]|\b),Broek in Waterland,380,10289,0,11,0.0
(?:[^a-zA-Z]|\b)broek.?op.?langend(ij|y)k(?:[^a-zA-Z]|\b),Broek op Langedijk,1031,10955,0,13,0.0
(?:[^a-zA-Z]|\b)broekhu(ij|y|i)(s|z)en(?:[^a-zA-Z]|\b),Broekhuizen,898,10856,0,34,0.0
(?:[^a-zA-Z]|\b)broeksittard(?:[^a-zA-Z]|\b),Broeksittard,1032,10655,0,1,0.0
(?:[^a-zA-Z]|\b)brouwershaven(?:[^a-zA-Z]|\b),Brouwershaven,656,10030,0,119,0.0
(?:[^a-zA-Z]|\b)bruinisse(?:[^a-zA-Z]|\b),Bruinisse,657,11291,0,40,0.0
(?:[^a-zA-Z]|\b)brummen(?:[^a-zA-Z]|\b),Brummen,213,10798,0,73,0.0
(?:[^a-zA-Z]|\b)brunssum(?:[^a-zA-Z]|\b),Brunssum,899,10533,0,3,0.0
(?:[^a-zA-Z]|\b)budel(?:[^a-zA-Z]|\b),Budel,759,10219,0,0,0.0
(?:[^a-zA-Z]|\b)buggenum(?:[^a-zA-Z]|\b),Buggenum,1033,10857,0,3,0.0
(?:[^a-zA-Z]|\b)buiksloot(?:[^a-zA-Z]|\b),Buiksloot,1034,10961,0,15,0.0
(?:[^a-zA-Z]|\b)bunde(?:[^a-zA-Z]|\b),Bunde,900,10831,0,5,0.0
(?:[^a-zA-Z]|\b)bunnik(?:[^a-zA-Z]|\b),Bunnik,312,10820,0,22,0.0
(?:[^a-zA-Z]|\b)bunschoten(?:[^a-zA-Z]|\b),Bunschoten,313,11343,0,4,0.0
(?:[^a-zA-Z]|\b)buren(?:[^a-zA-Z]|\b),Buren,214,11286,1,67,0.014925373134328358
(?:[^a-zA-Z]|\b)burgh(?:[^a-zA-Z]|\b),Burgh,1035,11000,0,9,0.0
(?:[^a-zA-Z]|\b)bussum(?:[^a-zA-Z]|\b),Bussum,381,10281,0,1,0.0
(?:[^a-zA-Z]|\b)buurmalsen(?:[^a-zA-Z]|\b),Buurmalsen,215,10460,0,4,0.0
(?:[^a-zA-Z]|\b)cadier.?en.?keer(?:[^a-zA-Z]|\b),Cadier en Keer,901,11447,0,1,0.0
(?:[^a-zA-Z]|\b)cadzand(?:[^a-zA-Z]|\b),Cadzand,658,11002,0,1,0.0
(?:[^a-zA-Z]|\b)callantsoog(?:[^a-zA-Z]|\b),Callantsoog,382,10559,0,1,0.0
(?:[^a-zA-Z]|\b)capelle.?(a.?d.?|aan.?den?).?(ij|y)ssel(?:[^a-zA-Z]|\b),Capelle,1036,11233,0,7,0.0
(?:[^a-zA-Z]|\b)cappelle(?:[^a-zA-Z]|\b),Capelle aan den IJssel,502,11248,0,30,0.0
(?:[^a-zA-Z]|\b)castricum(?:[^a-zA-Z]|\b),Castricum,383,11287,0,1,0.0
(?:[^a-zA-Z]|\b)chaam(?:[^a-zA-Z]|\b),Chaam,760,11433,0,3,0.0
(?:[^a-zA-Z]|\b)charlois(?:[^a-zA-Z]|\b),Charlois,1037,10430,0,20,0.0
(?:[^a-zA-Z]|\b)clinge(?:[^a-zA-Z]|\b),Clinge,659,10965,0,1,0.0
(?:[^a-zA-Z]|\b)coevorden(?:[^a-zA-Z]|\b),Coevorden,109,10383,0,66,0.0
