Regex;name;cbscode;amsterdamcode
(?:[^a-zA-Z]|\b)cromvoirt(?:[^a-zA-Z]|\b);Cromvoirt;1039;10053
(?:[^a-zA-Z]|\b)cu(ij|y)k.?en.?(st.?|sint).?agatha(?:[^a-zA-Z]|\b);Cuijk en Sint Agatha;761;10023
(?:[^a-zA-Z]|\b)cule(n|m)b(o|u)rg|kuilenb(u|o)rg(?:[^a-zA-Z]|\b);Culemborg;216;10342
(?:[^a-zA-Z]|\b)dalen(?:[^a-zA-Z]|\b);Dalen;110;11004
(?:[^a-zA-Z]|\b)dalfsen(?:[^a-zA-Z]|\b);Dalfsen;148;11007
(?:[^a-zA-Z]|\b)dantumadeel(?:[^a-zA-Z]|\b);Dantumadeel;65;10650
(?:[^a-zA-Z]|\b)de.?bilt(?:[^a-zA-Z]|\b);De Bilt;310;10168
(?:[^a-zA-Z]|\b)de.?lier(?:[^a-zA-Z]|\b);De Lier;552;10241
(?:[^a-zA-Z]|\b)de.r(ij|y)p(?:[^a-zA-Z]|\b);De Rijp;440;11417
(?:[^a-zA-Z]|\b)de.?werke(n|n.?e?n?.? sleeuwijk)(?:[^a-zA-Z]|\b);de Werken en Sleeuwijk;1222;10116
(?:[^a-zA-Z]|\b)de.w(ij|y)k(?:[^a-zA-Z]|\b);De Wijk;135;10753
(?:[^a-zA-Z]|\b)deil(?:[^a-zA-Z]|\b);Deil;217;10057
(?:[^a-zA-Z]|\b)delf(t?)shaven(?:[^a-zA-Z]|\b);Delfshaven;1040;10908
(?:[^a-zA-Z]|\b)delft(?:[^a-zA-Z]|\b);Delft;503;10928
(?:[^a-zA-Z]|\b)delfz(ij|y)l(?:[^a-zA-Z]|\b);Delfzijl;10;10976
(?:[^a-zA-Z]|\b)den.?bommel(?:[^a-zA-Z]|\b);Den Bommel;1024;10293
(?:[^a-zA-Z]|\b)den.?dungen(?:[^a-zA-Z]|\b);Den Dungen;768;10491
(?:[^a-zA-Z]|\b)den.?ham(?:[^a-zA-Z]|\b);Den Ham;159;10395
(?:[^a-zA-Z]|\b)den.?helder(?:[^a-zA-Z]|\b);Den Helder;400;10285
(?:[^a-zA-Z]|\b)denekamp(?:[^a-zA-Z]|\b);Denekamp;149;10245
(?:[^a-zA-Z]|\b)deurne.?en.?liessel(?:[^a-zA-Z]|\b);Deurne en Liessel;1041;10379
(?:[^a-zA-Z]|\b)deursen|dennenburg(?:[^a-zA-Z]|\b);Deursen en Dennenburg;1042;10209
(?:[^a-zA-Z]|\b)devent(er|\.)(?:[^a-zA-Z]|\b);Deventer;150;10899
(?:[^a-zA-Z]|\b)didam(?:[^a-zA-Z]|\b);Didam;218;10153
(?:[^a-zA-Z]|\b)diede(n|n.?.?demen.?e?n?.?langel)(?:[^a-zA-Z]|\b);Dieden, Demen en Langel;1043;11138
(?:[^a-zA-Z]|\b)diemen(?:[^a-zA-Z]|\b);Diemen;384;11039
