Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b),Bleskensgraaf en Hofwege,496,10451,0,1,0.0
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b),Bloemendaal,377,10850,2,30,0.06666666666666667
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b),Blokker,378,10804,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)blokz(ij|y)l(?:[^a-zA-Z]|\b),Blokzijl,146,10689,13,29,0.4482758620689655
(?:[^a-zA-Z]|\b)bocholtz(?:[^a-zA-Z]|\b),Bocholtz,895,10986,0,0,0.0
(?:[^a-zA-Z]|\b)bodegraven(?:[^a-zA-Z]|\b),Bodegraven,497,11091,13,48,0.2708333333333333
(?:[^a-zA-Z]|\b)boekel(?:[^a-zA-Z]|\b),Boekel,755,10432,0,0,0.0
(?:[^a-zA-Z]|\b)bokhoven(?:[^a-zA-Z]|\b),Bokhoven,1023,11083,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)bolsward(?:[^a-zA-Z]|\b),Bolsward,64,10865,1,81,0.012345679012345678
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b),Borculo,211,11307,0,8,0.0
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b),Borger,108,10448,1,17,0.058823529411764705
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b),Borgharen,896,11334,0,1,0.0
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b),Borkel en Schaft,1026,11013,0,0,0.0
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b),Born,897,10927,0,0,0.0
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b),Borne,147,10326,3,27,0.1111111111111111
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b),Borssele,1254,10043,0,1,0.0
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b),Boschkapelle,1027,10605,0,0,0.0
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b),Boskoop,499,10419,7,35,0.2
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b),Bovenkarspel,379,10945,0,0,0.0
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b),Boxmeer,756,11227,2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b),Boxtel,757,10083,17,70,0.24285714285714285
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b),Brakel,212,11125,6,20,0.3
(?:[^a-zA-Z]|\b)brandw(ij|y)k(?:[^a-zA-Z]|\b),Brandwijk,500,10169,1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)breda(?:[^a-zA-Z]|\b),Breda,758,10154,85,451,0.188470066518847
(?:[^a-zA-Z]|\b)breskens(?:[^a-zA-Z]|\b),Breskens,655,10233,7,30,0.23333333333333334
(?:[^a-zA-Z]|\b)breukelen.?n(ij|y)enrode(?:[^a-zA-Z]|\b),Breukelen-Nijenrode,1028,10807,1,15,0.06666666666666667
(?:[^a-zA-Z]|\b)breukelen.?(st.?|sint).?pieters(?:[^a-zA-Z]|\b),Breukelen-Sint Pieters,1029,11149,3,10,0.3
(?:[^a-zA-Z]|\b)brielle(?:[^a-zA-Z]|\b),Brielle,501,10232,8,189,0.042328042328042326
(?:[^a-zA-Z]|\b)broek(?:[^a-zA-Z]|\b),Broek,1030,11214,21,147,0.14285714285714285
(?:[^a-zA-Z]|\b)broek.?in.?waterland(?:[^a-zA-Z]|\b),Broek in Waterland,380,10289,1,15,0.06666666666666667
(?:[^a-zA-Z]|\b)broek.?op.?langend(ij|y)k(?:[^a-zA-Z]|\b),Broek op Langedijk,1031,10955,0,0,0.0
(?:[^a-zA-Z]|\b)broekhu(ij|y|i)(s|z)en(?:[^a-zA-Z]|\b),Broekhuizen,898,10856,4,23,0.17391304347826086
(?:[^a-zA-Z]|\b)broeksittard(?:[^a-zA-Z]|\b),Broeksittard,1032,10655,0,0,0.0
(?:[^a-zA-Z]|\b)brouwershaven(?:[^a-zA-Z]|\b),Brouwershaven,656,10030,12,127,0.09448818897637795
(?:[^a-zA-Z]|\b)bruinisse(?:[^a-zA-Z]|\b),Bruinisse,657,11291,5,10,0.5
(?:[^a-zA-Z]|\b)brummen(?:[^a-zA-Z]|\b),Brummen,213,10798,3,19,0.15789473684210525
(?:[^a-zA-Z]|\b)brunssum(?:[^a-zA-Z]|\b),Brunssum,899,10533,0,0,0.0
(?:[^a-zA-Z]|\b)budel(?:[^a-zA-Z]|\b),Budel,759,10219,0,0,0.0
(?:[^a-zA-Z]|\b)buggenum(?:[^a-zA-Z]|\b),Buggenum,1033,10857,0,2,0.0
(?:[^a-zA-Z]|\b)buiksloot(?:[^a-zA-Z]|\b),Buiksloot,1034,10961,1,22,0.045454545454545456
(?:[^a-zA-Z]|\b)bunde(?:[^a-zA-Z]|\b),Bunde,900,10831,0,9,0.0
(?:[^a-zA-Z]|\b)bunnik(?:[^a-zA-Z]|\b),Bunnik,312,10820,2,10,0.2
(?:[^a-zA-Z]|\b)bunschoten(?:[^a-zA-Z]|\b),Bunschoten,313,11343,4,12,0.3333333333333333
(?:[^a-zA-Z]|\b)buren(?:[^a-zA-Z]|\b),Buren,214,11286,14,79,0.17721518987341772
(?:[^a-zA-Z]|\b)burgh(?:[^a-zA-Z]|\b),Burgh,1035,11000,0,18,0.0
(?:[^a-zA-Z]|\b)bussum(?:[^a-zA-Z]|\b),Bussum,381,10281,2,2,1.0
(?:[^a-zA-Z]|\b)buurmalsen(?:[^a-zA-Z]|\b),Buurmalsen,215,10460,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)cadier.?en.?keer(?:[^a-zA-Z]|\b),Cadier en Keer,901,11447,0,0,0.0
(?:[^a-zA-Z]|\b)cadzand(?:[^a-zA-Z]|\b),Cadzand,658,11002,0,1,0.0
(?:[^a-zA-Z]|\b)callantsoog(?:[^a-zA-Z]|\b),Callantsoog,382,10559,0,7,0.0
(?:[^a-zA-Z]|\b)capelle.?(a.?d.?|aan.?den?).?(ij|y)ssel(?:[^a-zA-Z]|\b),Capelle,1036,11233,2,18,0.1111111111111111
(?:[^a-zA-Z]|\b)cappelle(?:[^a-zA-Z]|\b),Capelle aan den IJssel,502,11248,10,13,0.7692307692307693
(?:[^a-zA-Z]|\b)castricum(?:[^a-zA-Z]|\b),Castricum,383,11287,0,5,0.0
(?:[^a-zA-Z]|\b)chaam(?:[^a-zA-Z]|\b),Chaam,760,11433,1,8,0.125
(?:[^a-zA-Z]|\b)charlois(?:[^a-zA-Z]|\b),Charlois,1037,10430,4,38,0.10526315789473684
(?:[^a-zA-Z]|\b)clinge(?:[^a-zA-Z]|\b),Clinge,659,10965,0,3,0.0
(?:[^a-zA-Z]|\b)coevorden(?:[^a-zA-Z]|\b),Coevorden,109,10383,6,37,0.16216216216216217
(?:[^a-zA-Z]|\b)col(ij|y)nsplaat(?:[^a-zA-Z]|\b),Colijnsplaat,1038,10121,0,2,0.0
(?:[^a-zA-Z]|\b)cothen(?:[^a-zA-Z]|\b),Cothen,314,11316,0,8,0.0
(?:[^a-zA-Z]|\b)cromvoirt(?:[^a-zA-Z]|\b),Cromvoirt,1039,10053,0,2,0.0
