Location_Regex,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)zalt.?bommel(?:[^a-zA-Z]|\b),20,57,0.3508771929824561
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b),0,8,0.0
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b),1,17,0.058823529411764705
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b),3,27,0.1111111111111111
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b),7,35,0.2
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b),2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b),17,70,0.24285714285714285
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b),6,20,0.3
(?:[^a-zA-Z]|\b)brandw(ij|y)k(?:[^a-zA-Z]|\b),1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)breda(?:[^a-zA-Z]|\b),85,451,0.188470066518847
(?:[^a-zA-Z]|\b)breskens(?:[^a-zA-Z]|\b),7,30,0.23333333333333334
(?:[^a-zA-Z]|\b)breukelen.?n(ij|y)enrode(?:[^a-zA-Z]|\b),1,15,0.06666666666666667
(?:[^a-zA-Z]|\b)breukelen.?(st.?|sint).?pieters(?:[^a-zA-Z]|\b),3,10,0.3
(?:[^a-zA-Z]|\b)brielle(?:[^a-zA-Z]|\b),8,189,0.042328042328042326
(?:[^a-zA-Z]|\b)broek(?:[^a-zA-Z]|\b),21,147,0.14285714285714285
(?:[^a-zA-Z]|\b)broek.?in.?waterland(?:[^a-zA-Z]|\b),1,15,0.06666666666666667
(?:[^a-zA-Z]|\b)broek.?op.?langend(ij|y)k(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)broekhu(ij|y|i)(s|z)en(?:[^a-zA-Z]|\b),4,23,0.17391304347826086
(?:[^a-zA-Z]|\b)broeksittard(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)brouwershaven(?:[^a-zA-Z]|\b),12,127,0.09448818897637795
(?:[^a-zA-Z]|\b)bruinisse(?:[^a-zA-Z]|\b),5,10,0.5
(?:[^a-zA-Z]|\b)brummen(?:[^a-zA-Z]|\b),3,19,0.15789473684210525
(?:[^a-zA-Z]|\b)brunssum(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)budel(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)buggenum(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)buiksloot(?:[^a-zA-Z]|\b),1,22,0.045454545454545456
(?:[^a-zA-Z]|\b)bunde(?:[^a-zA-Z]|\b),0,9,0.0
(?:[^a-zA-Z]|\b)bunnik(?:[^a-zA-Z]|\b),2,10,0.2
(?:[^a-zA-Z]|\b)bunschoten(?:[^a-zA-Z]|\b),4,12,0.3333333333333333
(?:[^a-zA-Z]|\b)buren(?:[^a-zA-Z]|\b),14,79,0.17721518987341772
(?:[^a-zA-Z]|\b)burgh(?:[^a-zA-Z]|\b),0,18,0.0
(?:[^a-zA-Z]|\b)bussum(?:[^a-zA-Z]|\b),2,2,1.0
(?:[^a-zA-Z]|\b)buurmalsen(?:[^a-zA-Z]|\b),1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)cadier.?en.?keer(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)cadzand(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)callantsoog(?:[^a-zA-Z]|\b),0,7,0.0
(?:[^a-zA-Z]|\b)capelle.?(a.?d.?|aan.?den?).?(ij|y)ssel(?:[^a-zA-Z]|\b),2,18,0.1111111111111111
(?:[^a-zA-Z]|\b)cappelle(?:[^a-zA-Z]|\b),10,13,0.7692307692307693
(?:[^a-zA-Z]|\b)castricum(?:[^a-zA-Z]|\b),0,5,0.0
(?:[^a-zA-Z]|\b)chaam(?:[^a-zA-Z]|\b),1,8,0.125
(?:[^a-zA-Z]|\b)charlois(?:[^a-zA-Z]|\b),4,38,0.10526315789473684
(?:[^a-zA-Z]|\b)clinge(?:[^a-zA-Z]|\b),0,3,0.0
(?:[^a-zA-Z]|\b)coevorden(?:[^a-zA-Z]|\b),6,37,0.16216216216216217
(?:[^a-zA-Z]|\b)col(ij|y)nsplaat(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)cothen(?:[^a-zA-Z]|\b),0,8,0.0
(?:[^a-zA-Z]|\b)cromvoirt(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)cu(ij|y)k(?:[^a-zA-Z]|\b),3,17,0.17647058823529413
(?:[^a-zA-Z]|\b)cule(n|m)b(o|u)rg|kuilenb(u|o)rg(?:[^a-zA-Z]|\b),15,76,0.19736842105263158
(?:[^a-zA-Z]|\b)dalen(?:[^a-zA-Z]|\b),4,81,0.04938271604938271
(?:[^a-zA-Z]|\b)dalfsen(?:[^a-zA-Z]|\b),14,53,0.2641509433962264
(?:[^a-zA-Z]|\b)dantumadeel(?:[^a-zA-Z]|\b),1,2,0.5
(?:[^a-zA-Z]|\b)de.?werke(n|n.?e?n?.? sleeuwijk)(?:[^a-zA-Z]|\b),13,71,0.18309859154929578
(?:[^a-zA-Z]|\b)deil(?:[^a-zA-Z]|\b),2,13,0.15384615384615385
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b),13,81,0.16049382716049382
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b),13,81,0.16049382716049382
(?:[^a-zA-Z]|\b)delf(t?)shaven(?:[^a-zA-Z]|\b),10,80,0.125
(?:[^a-zA-Z]|\b)delft(?:[^a-zA-Z]|\b),276,712,0.38764044943820225
