Regex,name,cbscode,amsterdamcode
\bdordrecht|dodrech(\w|\.)\b,Dordrecht,505,11157
\bdreischor\b,Dreischor,1047,10885
\bdreumel\b,Dreumel,224,11232
\bdriebergen\b,Driebergen,1048,10777
\bdriel\b,Driel,1248,10341
\bdriewegen\b,Driewegen,661,11115
\bdrongele(n|n[\s\w]?[\s\w]?hangoord[\s\w]?[\s\w]?gansoyen[\s\w]?[\s\w]?e?n?doevere)\b,"Drongelen,Haagoord,Gansoyen,Doevere",1263,10111
\bdrunen\b,Drunen,767,10428
\bdruten\b,Druten,225,10068
\bdubbeldam\b,Dubbeldam,507,10781
\bduiven\b,Duiven,226,11028
\bduivend(ij|y)ke\b,Duivendijke,1050,10335
\bduizel|steensel\b,Duizel en Steensel,1051,11005
\bdusse(n|munster[\s\w]?[\s\w]?en[\s\w]?muilkerk)\b,"Dussen, Munster en Muilkerk",1265,10261
\bdwingeloo?\b,Dwingeloo,112,10331
\becht\b,Echt,902,10941
\bechteld\b,Echteld,227,10832
\bedam\b,Edam,1315,10884
\bede\b,Ede,228,10743
\beede\b,Eede,1052,11128
\beelde\b,Eelde,113,10622
\beemnes\b,Eemnes,317,10248
\beenrum\b,Eenrum,11,10904
\beersel\b,Eersel,770,10741
\bheesbeen\b|\beethen\b|\bgenderen\b,"Eethen, Genderen en Heesbeen",1255,10010
\begmond[\s\w]?aan[\s\w]?zee\b,Egmond aan Zee,386,10421
\begmond[\s\w]?binnen\b,Egmond-Binnen,387,10989
\beibergen\b,Eibergen,229,10436
\be(ij|y)gelshoven\b,Eijgelshoven,904,10960
\be(ij|y)sden\b,Eijsden,905,10314
\beindhoven\b,Eindhoven,772,11298
\belburg\b,Elburg,230,11113
\belkerzee\b,Elkerzee,1053,10184
\bellemeet\b,Ellemeet,1054,10102
\bellewoutsd(ij|y)k\b,Ellewoutsdijk,663,11300
\belsloo\b,Elsloo,903,11187
\belst\b,Elst,231,11188
\bemmen\b,Emmen,114,11180
\bemmikhoven\b,Emmikhoven,1056,10621
\bempel|meerwijk\b,Empel en Meerwijk,773,10295
\bengelen\b,Engelen,774,10322
\benkhui(z|s)en\b,Enkhuizen,388,10729
\bensch(ede|\.)\b,Enschede,153,10364
\bepe\b,Epe,232,10940
\bermelo\b,Ermelo,233,10732
\berp\b,Erp,775,10385
\besch\b,Esch,776,10709
\bescharen\b,Escharen,1057,10299
\best[\s\w]?en[\s\w]?op(ij|y)nen\b,Est en Opijnen,234,11092
\betten[\s\w]?en[\s\w]?leur\b,Etten en Leur,1251,10750
\beverdingen\b,Everdingen,508,10638
\bew(ij|y)k\b,Ewijk,235,10471
\bezinge\b,Ezinge,12,10136
\bferwerderadeel\b,Ferwerderadeel,68,11284
\bf(ij|y)naart|he(ij|y)ningen\b,Fijnaart en Heijningen,778,10206
\bfinsterwolde?\b,Finsterwolde,13,10212
\bfraneker\b,Franeker,69,11226
\bfranekeradeel\b|\bfrjentsjerteradiel\b,Franekeradeel,70,10404
\bgaasterland\b,Gaasterland,71,10036
\bgameren\b,Gameren,1058,10037
\bgassel\b,Gassel,1059,10705
\bgasselte\b,Gasselte,115,11099
\bgeertruidenberg\b,Geertruidenberg,779,10101
\bgeervliet\b,Geervliet,509,10842
\bgeffen\b,Geffen,780,10370
\bgeldermalsen\b,Geldermalsen,236,10881
\bgel(dorp|drop)\b,Geldrop,781,10529
\bgeleen\b,Geleen,906,10048
\bgemert\b,Gemert,782,10277
\bgendringen\b,Gendringen,237,10260
\bgend?t\b,Gendt,238,10440
\bgenemuiden\b,Genemuiden,154,10746
\bgennep\b,Gennep,907,10542
\bgestel\b|\bblaarthem\b,Gestel en Blaarthem,1061,11269
\bgeu(l|lle)\b,Geulle,908,10530
\bgiessen\b,Giessen,783,10193
\bgiessen[\s\w]?nieuwkerk\b,Giessendam,1063,10606
\bgiessendam\b,Giessen-Nieuwkerk,1062,10255
\bgieten\b,Gieten,116,10506
