Location_Regex,n_both,n_total,Normalized_Mentions
marken,14,177,0.07909604519774012
marum,2,4,0.5
maurik,8,15,0.5333333333333333
medemblik,1,40,0.025
meeden,2,8,0.25
meerkerk,2,13,0.15384615384615385
meerlo,1,7,0.14285714285714285
meerssen,1,14,0.07142857142857142
meeuwen|meeuwenn.?.?heel.?.?en.?babyloni(ë|e)nbroek,1,23,0.043478260869565216
mege(n|n.?.?haren.?.?e?n?.?macharen),49,310,0.15806451612903225
me(ij|y)el,0,4,0.0
meliskerke,0,2,0.0
melissant,0,0,0.0
menaldumadeel,5,9,0.5555555555555556
meppel,167,313,0.5335463258785943
merkelbeek,0,1,0.0
mesch,1,20,0.05
mheer,0,7,0.0
middelburg,54,431,0.12529002320185614
middelharnis,2,29,0.06896551724137931
middelie,0,1,0.0
middelstum,1,7,0.14285714285714285
midwold(e|a),3,11,0.2727272727272727
midwoud,0,5,0.0
mierlo,0,9,0.0
m(ij|y)drecht,11,65,0.16923076923076924
m(ij|y)nsheerenland,0,11,0.0
mil(l|l.?en.?(st.?|sint).?hubert),86,737,0.11668928086838534
millingen,6,11,0.5454545454545454
moer(c|k)apelle,0,6,0.0
moergestel,4,6,0.6666666666666666
molenaarsgraaf,0,2,0.0
monni.?kendam,6,41,0.14634146341463414
monster,11,159,0.06918238993710692
montfoort,7,41,0.17073170731707318
montfort,0,0,0.0
mook.?en.?middelaar,0,0,0.0
moordrecht,6,26,0.23076923076923078
muiden,27,138,0.1956521739130435
munstergeleen,0,1,0.0
muntendam,2,29,0.06896551724137931
naaldw(ij|y)k,2,42,0.047619047619047616
naarden,6,31,0.1935483870967742
nederhemert,1,3,0.3333333333333333
nederhorst.?den.?berg,2,12,0.16666666666666666
nederweert,1,9,0.1111111111111111
neede,1,6,0.16666666666666666
neer,238,2004,0.1187624750499002
neeritter,0,1,0.0
neuzen,3,27,0.1111111111111111
nibbi(ks|x)woud,0,0,0.0
nieuwe.?niedorp,0,6,0.0
nieuwe.?pekela,1,7,0.14285714285714285
nieuwe.?schans,0,1,0.0
nieuw.?en.?(st.?|sint).?joosland,0,0,0.0
nieuwendam,2,23,0.08695652173913043
nieuwenhagen,0,1,0.0
nieuwenhoorn,1,9,0.1111111111111111
nieuwer.?amstel,4,26,0.15384615384615385
nieuwerkerk,2,18,0.1111111111111111
nieuwerkerk.?(a.?d|aan.?den?).?(ij|y)ssel,1,9,0.1111111111111111
nieuwkoop,10,43,0.23255813953488372
nieuwkuik,0,3,0.0
nieuwland,6,59,0.1016949152542373
nieuwleusen,5,9,0.5555555555555556
nieuwolda,1,5,0.2
nieuwpoort,4,20,0.2
nieuwstadt,0,1,0.0
nieuwveen,7,41,0.17073170731707318
nieuwvliet,0,3,0.0
nieuw.?vo(s|sse)meer,4,12,0.3333333333333333
nigtevecht,1,3,0.3333333333333333
n(ij|y)eveen,1,5,0.2
n(ij|y)kerk,8,75,0.10666666666666667
